"","MarkerX","MarkerZ","SecondX","SecondZ","UserX","UserZ","ErrorX","ErrorY","ErrorMag","MarkerTime","TrialTime","Landmark","AngleError","Interface"
"1",-1.5,0,1.4,-0.5,-1.7,-0.5,-0.2,-0.5,0.53851648071345,6.74409,24.21075,"L",9.78240703180728,0
"2",0,-2.1,-1.1,0.1,-0.3,-2.5,-0.3,-0.4,0.5,4.14474000000001,17.82252,"L",9.46232220802561,0
"3",1.5,0,0.8,1.1,1.7,0.1,0.2,0.1,0.223606797749979,4.06129,24.12796,"L",9.51602020496815,0
"4",-1.5,0,-1.1,1.1,-1.9,-0.4,-0.4,-0.4,0.565685424949238,3.3939,13.9495,"L",8.08938041395293,0
"5",0,2.1,0.6,-0.8,-0.2,1.8,-0.2,-0.3,0.360555127546399,4.7586,14.5141,"L",5.41335979361307,0
"6",-1.2,1.8,-0.8,-0.3,-1,1.4,0.2,-0.4,0.447213595499958,1.98409999999998,10.3619,"L",4.07446105980565,0
"7",1.2,-1.8,-0.8,-1.7,1.3,-1.6,0.1,0.2,0.223606797749979,2.5727,10.2949,"L",5.58871622001803,0
"8",1.5,0,-1,0.9,2.1,0.3,0.6,0.3,0.670820393249937,2.92169999999999,11.6551,"L",8.84481371112656,0
"9",-1.5,0,-0.4,1.3,-1.9,-0.3,-0.4,-0.3,0.5,1.91419999999999,12.9142,"L",2.91603142473172,0
"10",-1.2,-1.8,0,0.9,-1,-1.7,0.2,0.1,0.223606797749979,2.67740000000001,12.2662,"L",2.92497794915634,0
"11",0,-2.1,1.1,0,0.4,-2.7,0.4,-0.6,0.721110255092798,2.35079999999999,9.87299999999999,"L",13.1115202831985,0
"12",0,2.1,-1.3,1.1,-0.1,2.7,-0.1,0.6,0.608276253029822,2.76550000000003,14.3321,"L",15.5615103253285,0
"13",-1.2,-1.8,1.3,-0.6,-1.2,-1.6,0,0.2,0.2,-0.420749999999998,14.1237,"N",3.83959633795341,0
"14",0,2.1,1.4,1.2,-0.1,2.3,-0.1,0.2,0.223606797749979,-0.666810000000012,8.08875,"N",3.51861146533722,0
"15",1.2,-1.8,1.4,-0.1,1.6,-2.4,0.4,-0.6,0.721110255092798,1.13087,11.74198,"N",11.6795775358672,0
"16",0,-2.1,-1.1,-1.7,0.6,-2.6,0.6,-0.5,0.781024967590665,0.451399999999992,12.5514,"N",7.91416450904775,0
"17",1.5,0,1.1,1.1,1.7,-0.1,0.2,-0.1,0.223606797749979,1.4222,9.3777,"N",6.58194465517797,0
"18",-1.2,1.8,0.4,-0.5,-1.1,1.6,0.0999999999999999,-0.2,0.223606797749979,3.12720000000002,10.8605,"N",0.713188635017527,0
"19",-1.5,0,1.2,0.9,-1.3,0.3,0.2,0.3,0.360555127546399,3.84559999999999,16.8012,"N",4.93921554212615,0
"20",-1.2,-1.8,1.3,-1.1,-1,-1.7,0.2,0.1,0.223606797749979,2.73599999999999,10.6026,"N",1.02137246857676,0
"21",1.2,-1.8,0.9,0.2,1,-2.2,-0.2,-0.4,0.447213595499958,4.07310000000001,12.2619,"N",6.14482157955923,0
"22",-1.5,0,0.2,1.4,-2.2,-0.2,-0.7,-0.2,0.728010988928052,3.82760000000002,12.8165,"N",5.78239232236409,0
"23",0,2.1,1.4,-0.2,0.2,2.2,0.2,0.1,0.223606797749979,2.77359999999999,13.6959,"N",4.76364169072614,0
"24",1.2,1.8,-0.3,-0.4,1.3,2.1,0.1,0.3,0.316227766016838,4.10489999999999,12.0494,"N",1.66763390601606,0
"25",0,2.1,1.1,0.9,-2.8,-1.2,-2.8,-3.3,4.32781700167648,9.27391,20.81836,"L",75.7903086880055,0
"26",1.2,1.8,-0.7,1.9,8.2,1,7,-0.8,7.04556598152341,7.71718,21.22829,"L",2.76153839847996,0
"27",1.5,0,-0.3,1.2,2.8,-3.1,1.3,-3.1,3.36154726279432,5.20281999999999,13.39171,"L",20.5209590148369,0
"28",1.2,-1.8,0.1,-2.3,7.1,-3.5,5.9,-1.7,6.1400325732035,2.625,20.6353,"L",34.1715333318181,0
"29",0,2.1,-0.6,-1.1,1.9,0.9,1.9,-1.2,2.24722050542442,23.4233,38.4455,"L",40.7205364697548,0
"30",1.2,1.8,-1.5,1.1,3.6,5.6,2.4,3.8,4.49444101084885,2.47230000000002,14.1057,"L",26.8892105444625,0
"31",0,-2.1,-1.5,-0.5,1.9,-2.5,1.9,-0.4,1.94164878389476,15.0804,22.9359,"L",16.3820653465347,0
"32",1.2,1.8,-0.4,-0.7,11.4,12.1,10.2,10.3,14.4958614783669,4.6524,13.1524,"L",10.0529418397661,0
"33",1.5,0,-1,1,7.2,5.8,5.7,5.8,8.13203541556479,3.2396,17.7062,"L",52.1446583705914,0
"34",-1.2,-1.8,-0.6,0.5,-1.9,-7.9,-0.7,-6.1,6.1400325732035,3.5729,10.4618,"L",5.82346327864045,0
"35",1.5,0,0.8,1,2.4,-2.8,0.9,-2.8,2.94108823397055,5.9049,18.616,"L",12.1583660206411,0
"36",-1.5,0,1.1,1.1,-7.7,-5,-6.2,-5,7.96492310069595,3.23630000000003,10.8808,"L",11.7968958419312,0
"37",0,-2.1,0.5,0.8,0.5,-12,0.5,-9.9,9.91261822123701,7.58737,17.78737,"N",9.78240703180732,0
"38",-1.5,0,0.2,-1.5,-3.1,3.7,-1.6,3.7,4.03112887414927,10.22449,24.16893,"N",16.176494201078,0
"39",1.5,0,-0.7,-1.1,3.4,1.7,1.9,1.7,2.54950975679639,18.05315,25.95315,"N",7.7651660184254,0
"40",-1.2,1.8,0.1,2.1,-3.4,0.5,-2.2,-1.3,2.55538646783613,5.09980000000002,18.1998,"N",11.5725545286848,0
"41",0,2.1,-0.9,1.3,0.5,2.9,0.5,0.8,0.94339811320566,2.24609999999998,20.6017,"N",7.1805354977201,0
"42",-1.2,1.8,-0.4,-0.6,-1.2,3.1,0,1.3,1.3,7.58529999999999,17.8409,"N",6.23448009554118,0
"43",-1.2,-1.8,0.4,0.5,-2.3,-3.5,-1.1,-1.7,2.02484567313166,5.19879999999998,15.0099,"N",0.805139167130197,0
"44",-1.5,0,-0.4,-1.3,-3.5,1.5,-2,1.5,2.5,2.9562,13.9117,"N",7.67447951689397,0
"45",-1.2,1.8,1,1.5,-2.8,3.4,-1.6,1.6,2.26274169979695,2.66309999999999,11.8964,"N",18.7998851586527,0
"46",0,-2.1,-1,0.4,0.5,-3.2,0.5,-1.1,1.20830459735946,3.49669999999998,11.6633,"N",0.818455461688125,0
"47",0,2.1,-1.1,-0.5,0.5,2.9,0.5,0.8,0.94339811320566,7.11289999999997,16.7574,"N",2.26902320788549,0
"48",0,-2.1,-1.4,-1.2,1.6,-3.9,1.6,-1.8,2.40831891575846,2.88229999999999,12.1823,"N",9.25198622370907,0
"49",-1.5,0,0.9,-1.4,-2.5,0.7,-1,0.7,1.22065556157337,2.88182,14.04849,"L",1.44499250597633,0
"50",-1.2,-1.8,-1.1,0.4,-1,-1.9,0.2,-0.0999999999999999,0.223606797749979,2.51736,8.01736,"L",5.09211512449904,0
"51",0,2.1,-1.1,1.4,0.8,2,0.8,-0.1,0.806225774829855,1.23356,7.94467,"L",14.9456239171256,0
"52",-1.2,-1.8,-1.1,-0.5,-0.8,-2.3,0.4,-0.5,0.640312423743285,1.77226,6.87226,"L",13.8610275630211,0
"53",1.2,1.8,-1.2,0.1,1.4,1.7,0.2,-0.1,0.223606797749979,1.97838999999999,7.0895,"L",3.70371119338433,0
"54",0,-2.1,0.9,0.6,-0.2,-2.1,-0.2,0,0.2,1.79259,7.35926000000001,"L",3.73139699916042,0
"55",1.5,0,-1.3,-0.5,1.6,0.1,0.1,0.1,0.14142135623731,2.1438,6.866,"L",1.56469752004113,0
"56",-1.5,0,0,-1.5,-1.5,0.2,0,0.2,0.2,1.99759999999999,6.642,"L",3.57633437499729,0
"57",-1.2,-1.8,0,0.9,-2,-1.4,-0.8,0.4,0.894427190999916,1.84739999999999,7.503,"L",17.046597926992,0
"58",-1.5,0,-0.4,-1.3,-1.9,0.1,-0.4,0.1,0.412310562561766,1.7834,7.45009999999999,"L",6.7385757016081,0
"59",0,2.1,1.2,-0.1,0.1,2.8,0.1,0.7,0.707106781186547,1.41119999999998,6.90009999999998,"L",7.83820498391946,0
"60",1.2,1.8,1.4,0.2,0.6,2.9,-0.6,1.1,1.25299640861417,1.78799999999998,7.28799999999998,"L",9.37934503285323,0
"61",0,-2.1,1.1,-1.5,0,-3.4,0,-1.3,1.3,1.66674,8.40008,"N",31.3209575121723,0
"62",1.2,1.8,-1.5,0.6,2.2,3.3,1,1.5,1.80277563773199,1.97232,7.19454,"N",12.1568518749015,0
"63",-1.2,-1.8,1.4,-0.1,-1.5,-3.1,-0.3,-1.3,1.33416640641263,1.97873,7.52317,"N",12.7925102716864,0
"64",-1.2,1.8,0,1.9,-2.6,1.6,-1.4,-0.2,1.4142135623731,1.5992,6.84364,"N",1.81830296445223,0
"65",-1.5,0,1.4,0.5,-1.8,-0.4,-0.3,-0.4,0.5,0.204720000000009,6.09361000000001,"N",5.92623079720863,0
"66",0,-2.1,1.4,-0.5,-0.6,-2.8,-0.6,-0.7,0.921954445729289,1.59487,7.43930999999999,"N",0.176838264141351,0
"67",-1.2,1.8,-1.2,0,-1.5,2.3,-0.3,0.5,0.58309518948453,2.3189,9.55226,"N",7.43140797117253,0
"68",1.2,1.8,0.4,-0.7,1.6,2.3,0.4,0.5,0.640312423743285,0.725999999999999,6.88149999999999,"N",4.05673786129479,0
"69",0,2.1,1.2,0.3,-0.3,3.4,-0.3,1.3,1.33416640641263,1.41540000000001,7.7154,"N",7.86907555179048,0
"70",-1.2,-1.8,0,0.7,-1.3,-3.1,-0.1,-1.3,1.30384048104053,1.54049999999998,6.94049999999999,"N",6.75491845459592,0
"71",1.5,0,-0.5,1.1,1.9,-0.4,0.4,-0.4,0.565685424949238,1.22300000000001,7.03410000000002,"N",3.19458946511043,0
"72",1.2,-1.8,-0.5,-1.9,1.8,-1.8,0.6,0,0.6,1.33679999999998,7.27009999999999,"N",0.87690774143046,0
"73",0,2.1,-0.5,-0.8,0.6,4.6,0.6,2.5,2.57099202643649,5.30114,11.37891,"L",1.73142415267975,0
"74",-1.5,0,0.3,-1.4,-1.8,0.7,-0.3,0.7,0.761577310586391,5.15936,14.25936,"L",7.12501634890181,0
"75",0,-2.1,1.3,-1.1,0.2,-2,0.2,0.1,0.223606797749979,4.87949,13.22394,"L",1.72081483367269,0
"76",-1.5,0,-0.7,0.9,-0.8,-0.1,0.7,-0.1,0.707106781186547,4.46427,10.90871,"L",35.9229461990706,0
"77",1.2,1.8,0,1.9,2.1,1.8,0.9,0,0.9,3.97502,10.49725,"L",2.0373306968202,0
"78",-1.2,-1.8,-1.2,0,-1.4,-2.2,-0.2,-0.4,0.447213595499958,4.0733,10.4511,"L",5.19442890773474,0
"79",1.5,0,-0.9,-1.4,2.1,-0.4,0.6,-0.4,0.721110255092798,3.7886,10.9886,"L",11.8214883406073,0
"80",-1.5,0,1.3,0.5,-1,0.1,0.5,0.1,0.509901951359279,3.9751,14.0195,"L",0.258864712311779,0
"81",0,-2.1,-1.5,-0.3,0.1,-2.9,0.1,-0.8,0.806225774829855,4.4734,10.6734,"L",8.19806884601627,0
"82",-1.2,1.8,0.1,-1,-1.9,1.7,-0.7,-0.1,0.707106781186547,4.68170000000001,12.3484,"L",11.62408655889,0
"83",1.5,0,-0.7,1.3,1.3,0.2,-0.2,0.2,0.282842712474619,3.47670000000002,8.03230000000002,"L",1.7684331295158,0
"84",1.2,1.8,-0.1,-0.7,1.7,3,0.5,1.2,1.3,5.0215,11.0771,"L",1.53213613640569,0
"85",0,2.1,1.1,-0.8,0,2.5,0,0.4,0.4,7.03118,13.54229,"N",2.33730585912382,0
"86",1.2,-1.8,1.2,-0.2,2.5,-2.6,1.3,-0.8,1.52643375224737,2.5079,8.25235,"N",28.4429286243634,0
"87",0,-2.1,0.5,0.8,0.4,-2.8,0.4,-0.7,0.806225774829855,2.94378,8.46601,"N",8.19126676061271,0
"88",1.2,-1.8,-0.1,-1.9,1.4,-2.4,0.2,-0.6,0.632455532033676,2.48269000000001,9.90491,"N",22.8336541779175,0
"89",0,-2.1,1.4,0.1,0.1,-2.1,0.1,0,0.1,3.90643,12.65087,"N",1.89196541835946,0
